playerID,yearID,salary,stint,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,W,L,G_right,GS,CG,SHO,SV,IPouts,H_right,ER,HR_right,BB_right,SO_right,BAOpp,ERA,IBB_right,WP,HBP_right,BK,BFP,GF,R_right,SH_right,SF_right,GIDP_right,GS_right,InnOuts,PO,A,E,DP,PB,WP_right,SB_right,CS_right,ZR,Training-Validation
wisema01,2008,1200000,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,21,10,5,2,3,6,0.323,6.43,1,0,0,0,34,5,5,0,0,0,0,21,0,1,0,0,0,0,0,0,0,Training
santada01,2015,530000,1,91,0,261,30,56,10,5,0,21,8,4,6,68,1,3,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
cabrefe01,2007,391800,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33,0,0,0,1,131,50,35,9,31,48,0.579,18.21,3,2,0,0,207,13,36,0,2,1,0,131,2,2,0,0,0,0,0,0,0,Training
iwamuak01,2009,3250000,1,69,0,231,28,67,16,2,1,22,9,1,24,44,0,1,1,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
ryanbr01,2015,2000000,1,47,0,96,10,22,6,2,0,8,0,0,5,29,0,1,1,0,1,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0.25,0.0,0,0,0,0,8,1,0,0,0,0,,,,,,,,,,,,Training
swishni01,2015,15000000,3,76,0,219,14,43,9,0,6,25,0,0,35,54,1,3,0,3,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
moralfr01,2012,850000,1,37,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,37,9,0,0,1,229,64,32,11,30,76,0.224,3.77,3,3,6,5,325,5,38,0,3,5,9,229,5,6,1,0,0,0,0,0,0,Training
hundlni01,2009,404400,1,78,0,256,23,61,15,2,8,30,5,1,28,76,1,1,1,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
burgoam01,2007,415000,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,71,17,9,3,9,19,0.2,3.42,0,2,2,0,98,5,10,1,1,1,0,71,1,2,0,0,0,0,0,0,0,Training
frasoja01,2006,359000,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,51,0,0,0,0,150,47,24,8,17,51,0.244,4.32,1,3,2,0,215,12,24,0,3,1,0,150,4,8,1,0,0,0,0,0,0,Training
wagnebi02,2009,10500000,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,0,0,0,47,8,3,1,8,26,0.174,1.98,0,1,1,0,63,2,5,2,0,1,0,47,0,2,0,0,0,0,0,0,0,Training
layneto01,2015,557000,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,64,0,0,0,1,143,41,21,3,27,45,0.234,3.97,2,1,2,0,207,9,22,2,1,3,0,143,5,7,0,0,0,0,0,0,0,Training
arenano01,2015,512500,1,157,0,616,97,177,43,4,42,130,2,5,34,110,13,4,0,11,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,156,4086,105,385,17,42,0,0,0,0,0,Training
pavanca01,2007,10000000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,34,12,6,1,2,4,0.273,4.76,0,0,0,0,46,0,7,0,0,3,2,34,1,2,0,1,0,0,0,0,0,Training
smithse01,2013,3675000,1,117,0,368,49,93,27,0,8,40,0,0,39,94,4,3,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
willije01,2014,2100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
cozarza01,2016,2925000,1,121,0,464,67,117,28,2,16,50,4,1,37,84,3,2,1,4,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validation
balejo01,2007,1800000,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,0,0,0,0,120,45,18,1,17,42,0.29,4.05,2,2,1,0,179,5,18,3,3,3,0,120,1,8,0,1,0,0,0,0,0,Training
suppaje01,2007,6250000,1,35,0,61,4,8,0,0,0,2,0,0,3,16,0,0,11,0,2,0,12,12,34,34,1,0,0,620,243,106,18,68,114,0.298,4.62,10,7,11,0,919,0,113,14,11,23,,,,,,,,,,,,Training
myersbr01,2012,12000000,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,70,0,0,0,19,196,65,24,8,15,41,0.5229999999999999,6.640000000000001,2,2,3,0,272,41,30,2,3,6,0,196,12,6,0,2,0,0,0,0,0,Training
escobal02,2015,3000000,1,148,0,612,76,157,20,5,3,47,17,5,26,75,1,8,11,5,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,148,3920,217,417,13,80,0,0,0,0,0,Training
madsory01,2012,5897691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
